State,District,Block,Tap water connection Coverage,Reporting by Implementing Departments (Reporting rate),Certification by Gram Sabhas (Certification Rate),Reporting to Coverage Ratio,Certification to Coverage Ratio,Certification to Reporting Ratio,Year,Updated_Name
Karnataka,Kolar,Bangarapet,27.93976373,0.090873686,0,0.325248583,0,0,2023,Kolara
Karnataka,Kolar,K.G.F,28.43640567,0,0,0,0,0,2023,Kolara
Karnataka,Kolar,Kolar,43.69132347,0,0,0,0,0,2023,Kolara
Karnataka,Kolar,MALUR,26.73271388,0,0,0,0,0,2023,Kolara
Karnataka,Kolar,Mulbagal,39.30887237,0,0,0,0,0,2023,Kolara
Karnataka,Kolar,Srinivasapura,40.40253183,0.57843207,0,1.431672828,0,0,2023,Kolara
Karnataka,Ballari,Ballari,84.65144527,26.83292528,21.73698495,31.69813013,25.67822071,81.00862923,2023,Ballari
Karnataka,Ballari,KAMPLI,88.34241398,12.57546753,5.777254209,14.23491499,6.539615513,45.94067135,2023,Ballari
Karnataka,Ballari,KURUGODU,97.53737108,30.88282066,30.88282066,31.66255182,31.66255182,100,2023,Ballari
Karnataka,Ballari,Sandur,19.43957652,0,0,0,0,0,2023,Ballari
Karnataka,Ballari,Siruguppa,88.52471411,35.33314432,16.48804461,39.91331084,18.62535765,46.66452683,2023,Ballari
Karnataka,Koppal,Gangavathi,87.61125812,16.12220351,6.057252827,18.40197694,6.913783635,37.57087437,2023,Koppal
Karnataka,Koppal,KANAKAGIRI,95.15567045,57.04169945,39.48521974,59.94566501,41.49539334,69.22167488,2023,Koppal
Karnataka,Koppal,KARATAGI,93.10250605,31.19291123,8.150519166,33.50383632,8.754349922,26.12939557,2023,Koppal
Karnataka,Koppal,Koppal,82.79474847,16.26543611,8.628623424,19.64549251,10.42170377,53.04882922,2023,Koppal
Karnataka,Koppal,KUKANURU,89.71069006,17.45351004,6.032270538,19.45532915,6.724137931,34.56193353,2023,Koppal
Karnataka,Koppal,Kushtagi,92.09334727,38.59862998,24.45431325,41.9125063,26.55383258,63.35539179,2023,Koppal
Karnataka,Koppal,Yelburga,86.68934584,16.23150094,10.79283222,18.72375525,12.45001,66.49312508,2023,Koppal
Karnataka,Mandya,Krishnarajpet,71.1252688,19.72750907,11.90583176,27.73628754,16.73924325,60.35141951,2023,Mandya
Karnataka,Mandya,Maddur,92.65752352,19.11392582,3.99837828,20.62857402,4.315222475,20.91866589,2023,Mandya
Karnataka,Mandya,Malvalli,91.46834448,10.70074715,2.120330319,11.69885299,2.31810287,19.81478759,2023,Mandya
Karnataka,Mandya,Mandya,84.28985037,0.901047163,0.635874124,1.068986549,0.754389907,70.57057057,2023,Mandya
Karnataka,Mandya,Nagamangala,67.9120327,1.587156592,1.130420882,2.33707714,1.664536956,71.22302158,2023,Mandya
Karnataka,Mandya,Pandavapura,96.73864703,17.38894105,4.825319958,17.97517495,4.987996118,27.74936061,2023,Mandya
Karnataka,Mandya,Shrirangapattana,98.42142734,6.657992291,2.771708443,6.764779247,2.816163632,41.62979351,2023,Mandya
Karnataka,Mysuru,Heggadadevankote,51.61511586,2.600047157,1.916275481,5.037375415,3.712624585,73.70156636,2023,Mysuru
Karnataka,Mysuru,Hunsur,71.74988967,7.086564529,5.256604249,9.876760177,7.326288966,74.17704626,2023,Mysuru
Karnataka,Mysuru,Krishnarajanagara,66.2823556,15.19159037,2.422666817,22.91950887,3.655070487,15.94742063,2023,Mysuru
Karnataka,Mysuru,Mysore,38.45374445,2.280741837,1.004281358,5.931130686,2.611660768,44.03310105,2023,Mysuru
Karnataka,Mysuru,Nanjangud,80.81153389,31.97829964,8.690051526,39.57145485,10.75347925,27.17483926,2023,Mysuru
Karnataka,Mysuru,Piriyapatna,66.14565185,7.511573498,4.257719813,11.35611078,6.43688541,56.68212945,2023,Mysuru
Karnataka,Mysuru,SALIGRAMA,95.51551735,24.67227608,15.19724407,25.83064696,15.91075931,61.59644137,2023,Mysuru
Karnataka,Mysuru,SARAGURU,67.43964158,14.34497635,8.85671617,21.27083718,13.13280433,61.74089069,2023,Mysuru
Karnataka,Mysuru,Tirumakudal-narsipur,66.24532779,11.9546505,5.298013245,18.04602814,7.997565144,44.31759211,2023,Mysuru
Karnataka,Raichur,Deodurga,86.06765756,46.16716315,21.8241652,53.64054798,25.35698753,47.27205162,2023,Raichur
Karnataka,Raichur,Lingsugur,79.0584016,27.93502338,3.192574101,35.33466756,4.038247721,11.42857143,2023,Raichur
Karnataka,Raichur,Manvi,71.5552192,38.67776637,10.51678469,54.05303316,14.697439,27.19077568,2023,Raichur
Karnataka,Raichur,MASKI,76.06952514,31.51197964,12.16689874,41.42523512,15.9944455,38.61039159,2023,Raichur
Karnataka,Raichur,Raichur,82.09568011,25.35552779,16.25907414,30.88533739,19.80503008,64.12437665,2023,Raichur
Karnataka,Raichur,Sindhnur,76.62906267,5.770029721,4.120993257,7.529819001,5.377846359,71.4206591,2023,Raichur
Karnataka,Raichur,SIRWAR,73.44027429,25.86787485,13.30129186,35.22300959,18.11171321,51.42011834,2023,Raichur
Karnataka,Ramanagara,CHANNAPATNA,96.77487231,37.61692523,13.04397727,38.8705501,13.47868198,34.67581998,2023,Ramanagara
Karnataka,Ramanagara,KANAKAPURA,81.96906147,19.74811708,3.603481712,24.09215956,4.396148556,18.24721667,2023,Ramanagara
Karnataka,Ramanagara,MAGADI,75.84806596,5.143771279,0.084088765,6.781677573,0.110864745,1.63476874,2023,Ramanagara
Karnataka,Ramanagara,RAMANAGARAM,94.52537991,29.12952091,15.0298374,30.81661342,15.90031949,51.5965829,2023,Ramanagara
Karnataka,Shivamogga,Bhadravati,86.46739408,34.33877475,18.41796177,39.71297518,21.3004705,53.63604818,2023,Shivamogga
Karnataka,Shivamogga,Hosanagara,53.12086627,1.873442643,0.024610084,3.526754691,0.046328469,1.3136289,2023,Shivamogga
Karnataka,Shivamogga,Sagar,83.34763056,11.19082898,3.173984247,13.4266912,3.808127748,28.36236934,2023,Shivamogga
